Name,Education,Income,Prestige
GOV.ADMINISTRATORS,13.11,12351,68.8
GENERAL.MANAGERS,12.26,25879,69.1
ACCOUNTANTS,12.77,9271,63.4
PURCHASING.OFFICERS,11.42,8865,56.8
CHEMISTS,14.62,8403,73.5
PHYSICISTS,15.64,11030,77.6
BIOLOGISTS,15.09,8258,72.6
ARCHITECTS,15.44,14163,78.1
CIVIL.ENGINEERS,14.52,11377,73.1
MINING.ENGINEERS,14.64,11023,68.8
SURVEYORS,12.39,5902,62
DRAUGHTSMEN,12.3,7059,60
COMPUTER.PROGRAMERS,13.83,8425,53.8
ECONOMISTS,14.44,8049,62.2
PSYCHOLOGISTS,14.36,7405,74.9
SOCIAL.WORKERS,14.21,6336,55.1
LAWYERS,15.77,19263,82.3
LIBRARIANS,14.15,6112,58.1
VOCATIONAL.COUNSELLORS,15.22,9593,58.3
MINISTERS,14.5,4686,72.8
UNIVERSITY.TEACHERS,15.97,12480,84.6
PRIMARY.SCHOOL.TEACHERS,13.62,5648,59.6
SECONDARY.SCHOOL.TEACHERS,15.08,8034,66.1
PHYSICIANS,15.96,25308,87.2
VETERINARIANS,15.94,14558,66.7
OSTEOPATHS.CHIROPRACTORS,14.71,17498,68.4
NURSES,12.46,4614,64.7
NURSING.AIDES,9.45,3485,34.9
PHYSIO.THERAPSTS,13.62,5092,72.1
PHARMACISTS,15.21,10432,69.3
MEDICAL.TECHNICIANS,12.79,5180,67.5
COMMERCIAL.ARTISTS,11.09,6197,57.2
RADIO.TV.ANNOUNCERS,12.71,7562,57.6
ATHLETES,11.44,8206,54.1
SECRETARIES,11.59,4036,46
TYPISTS,11.49,3148,41.9
BOOKKEEPERS,11.32,4348,49.4
TELLERS.CASHIERS,10.64,2448,42.3
COMPUTER.OPERATORS,11.36,4330,47.7
SHIPPING.CLERKS,9.17,4761,30.9
FILE.CLERKS,12.09,3016,32.7
RECEPTIONSTS,11.04,2901,38.7
MAIL.CARRIERS,9.22,5511,36.1
POSTAL.CLERKS,10.07,3739,37.2
TELEPHONE.OPERATORS,10.51,3161,38.1
COLLECTORS,11.2,4741,29.4
CLAIM.ADJUSTORS,11.13,5052,51.1
TRAVEL.CLERKS,11.43,6259,35.7
OFFICE.CLERKS,11,4075,35.6
SALES.SUPERVISORS,9.84,7482,41.5
COMMERCIAL.TRAVELLERS,11.13,8780,40.2
SALES.CLERKS,10.05,2594,26.5
NEWSBOYS,9.62,918,14.8
SERVICE.STATION.ATTENDANT,9.93,2370,23.3
INSURANCE..AGENTS,11.6,8131,47.3
REAL.ESTATE.SALESMEN,11.09,6992,47.1
BUYERS,11.03,7956,51.1
FIREFIGHTERS,9.47,8895,43.5
POLICEMEN,10.93,8891,51.6
COOKS,7.74,3116,29.7
BARTENDERS,8.5,3930,20.2
FUNERAL.DIRECTORS,10.57,7869,54.9
BABYSITTERS,9.46,611,25.9
LAUNDERERS,7.33,3000,20.8
JANITORS,7.11,3472,17.3
ELEVATOR.OPERATORS,7.58,3582,20.1
FARMERS,6.84,3643,44.1
FARM.WORKERS,8.6,1656,21.5
ROTARY.WELL.DRILLERS,8.88,6860,35.3
BAKERS,7.54,4199,38.9
SLAUGHTERERS.1,7.64,5134,25.2
SLAUGHTERERS.2,7.64,5134,34.8
CANNERS,7.42,1890,23.2
TEXTILE.WEAVERS,6.69,4443,33.3
TEXTILE.LABOURERS,6.74,3485,28.8
TOOL.DIE.MAKERS,10.09,8043,42.5
MACHINISTS,8.81,6686,44.2
SHEET.METAL.WORKERS,8.4,6565,35.9
WELDERS,7.92,6477,41.8
AUTO.WORKERS,8.43,5811,35.9
AIRCRAFT.WORKERS,8.78,6573,43.7
ELECTRONIC.WORKERS,8.76,3942,50.8
RADIO.TV.REPAIRMEN,10.29,5449,37.2
SEWING.MACH.OPERATORS,6.38,2847,28.2
AUTO.REPAIRMEN,8.1,5795,38.1
AIRCRAFT.REPAIRMEN,10.1,7716,50.3
RAILWAY.SECTIONMEN,6.67,4696,27.3
ELECTRICAL.LINEMEN,9.05,8316,40.9
ELECTRICIANS,9.93,7147,50.2
CONSTRUCTION.FOREMEN,8.24,8880,51.1
CARPENTERS,6.92,5299,38.9
MASONS,6.6,5959,36.2
HOUSE.PAINTERS,7.81,4549,29.9
PLUMBERS,8.33,6928,42.9
CONSTRUCTION.LABOURERS,7.52,3910,26.5
PILOTS,12.27,14032,66.1
TRAIN.ENGINEERS,8.49,8845,48.9
BUS.DRIVERS,7.58,5562,35.9
TAXI.DRIVERS,7.93,4224,25.1
LONGSHOREMEN,8.37,4753,26.1
TYPESETTERS,10,6462,42.2
BOOKBINDERS,8.55,3617,35.2
